DefendantId,drug_count,drug_type,policing_category
06a7eedbdb6cecd34555725d,1,Distribution,Normally Policed
06aa9991e5f390265a177fda,1,Possession,Ultra-Policed
06b3a7d7de975001389a64ba,2,Distribution,Ultra-Policed
06b8aa25e5327ce6cfcbc4a1,3,Possession,Normally Policed
06bd9bcdb063828eaa877c5d,2,Possession,Highly Policed
06c5398964257d7529d63ef2,1,Possession,Normally Policed
06c6917a69bf20ad3ff15c83,1,Distribution,Normally Policed
06ca744f5f5233276320abd3,1,Possession,Normally Policed
06cc7a6f9c1db553e297ff8d,3,Distribution,Normally Policed
06ce847fe2c3d7298b90e600,1,Possession,Normally Policed
06d217f5aeafc42ceb7f74b9,2,Possession,Normally Policed
06d9841d6eed7df09951304b,4,Distribution,Normally Policed
06d9db8d2801f57a3542aefd,4,Distribution,Normally Policed
06f67910001481bd89fbd10a,1,Possession,Highly Policed
06fa4c60591fa600bac26f1e,2,Possession,Highly Policed
06fe133e77ec6318cf4080c6,2,Distribution,Normally Policed
06ff0707be6d8c37f5876809,1,Distribution,Normally Policed
06ff9bebbc80f7737e82f531,1,Possession,Normally Policed
06ffc609c62e24e940c114f3,4,Distribution,Highly Policed
07013d918f3b78ce5239c0eb,1,Possession,Normally Policed
07079652b20568b46c56430d,2,Distribution,Normally Policed
0708254af0bc352e7a7fb873,3,Distribution,Normally Policed
07088f5a729c5cc86e4f4507,2,Distribution,Normally Policed
07111191e74424ba38e3abcd,1,Possession,Highly Policed
0711c25a418faf7e89b1a216,1,Possession,Ultra-Policed
07131a137824f88496ae7bc2,2,Distribution,Normally Policed
0716d9101f46016f296c7257,1,Possession,Normally Policed
